,Freq. of Parent (%),Count,Leukocytes | Freq. of Parent (%),Leukocytes | Count,Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Count,Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Count,Leukocytes/Single Cells/LIVE/CD3+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+ | Count,"Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q1: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q1: CD62L- , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q2: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q2: CD62L+ , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q3: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q3: CD62L+ , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q4: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q4: CD62L- , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q2: CD4+ , CD8+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q2: CD4+ , CD8+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q1: CD25- , FOXP3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q1: CD25- , FOXP3+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+/FLR4+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+/FLR4+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q3: CD25+ , FOXP3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q3: CD25+ , FOXP3- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q4: CD25- , FOXP3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q4: CD25- , FOXP3- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q5: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q5: CD62L- , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q6: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q6: CD62L+ , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q7: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q7: CD62L+ , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q8: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q8: CD62L- , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q4: CD4- , CD8- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q4: CD4- , CD8- | Count",Leukocytes/Single Cells/LIVE/CD3- | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3- | Count,"Leukocytes/Single Cells/LIVE/CD3-/CD11b+, Ly6G+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/CD11b+, Ly6G+ | Count",Leukocytes/Single Cells/LIVE/CD3-/CD19+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3-/CD19+ | Count,"Leukocytes/Single Cells/LIVE/CD3-/Q1: CD11b- , CD11c+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q1: CD11b- , CD11c+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q2: CD11b+ , CD11c+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q2: CD11b+ , CD11c+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q1: CD19- , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q1: CD19- , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q2: CD19+ , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q2: CD19+ , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q3: CD19+ , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q3: CD19+ , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q4: CD19- , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q4: CD19- , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q4: CD11b- , CD11c- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q4: CD11b- , CD11c- | Count","Leukocytes/Single Cells/LIVE/Q1: NK1.1- , CD3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: NK1.1- , CD3+ | Count","Leukocytes/Single Cells/LIVE/Q2: NK1.1+ , CD3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: NK1.1+ , CD3+ | Count","Leukocytes/Single Cells/LIVE/Q3: NK1.1+ , CD3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: NK1.1+ , CD3- | Count","Leukocytes/Single Cells/LIVE/Q4: NK1.1- , CD3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q4: NK1.1- , CD3- | Count",
A1 Saline_1.fcs,100,152842,69.1,105585,92.5,97716,94.3,92161,34.3,31652,34.3,10871,21.1,2293,27.9,3034,37.0,4026,14.0,1518,0.49,154,39.8,12612,8.38,1057,9.12,1150,86.2,991,5.38,678,77.1,9727,38.6,4867,8.91,1124,28.9,3646,23.6,2975,25.3,8015,65.6,60439,3.86,2333,51.5,31101,2.93,1771,11.6,7041,11.7,7072,36.3,2565,5.39,381,5.06,358,53.3,3768,73.7,44555,30.5,28124,2.55,2350,3.43,3163,63.5,58524,
A2 Saline_2.fcs,100,108489,92.2,100022,90.3,90316,98.8,89196,32.6,29117,39.8,11597,8.20,951,17.2,1996,55.6,6453,18.9,2197,1.22,356,39.3,11451,9.73,1114,13.6,1559,91.8,1431,8.33,954,68.3,7824,22.1,2526,10.3,1182,44.7,5113,23.0,2630,19.6,5713,67.3,60053,0.71,425,79.0,47424,2.56,1539,3.61,2165,3.22,1933,24.6,476,17.8,344,12.2,235,45.4,878,90.6,54416,30.1,26883,1.68,1499,0.85,760,67.3,60054,
A3 Saline_3.fcs,100,178926,55.9,100107,89.5,89634,92.7,83048,30.1,24963,24.9,6208,20.6,1277,22.9,1423,35.0,2171,21.5,1337,0.28,71.0,42.8,10679,7.94,848,7.13,761,89.1,678,3.17,338,81.8,8732,43.0,4588,4.73,505,17.9,1915,34.4,3671,32.1,8005,69.7,57864,4.03,2334,28.8,16659,3.84,2224,14.5,8402,11.8,6801,32.2,2193,3.97,270,6.38,434,57.4,3904,69.9,40437,25.9,21534,2.42,2010,3.43,2847,68.2,56657,
A4 Saline_4.fcs,100,214111,46.8,100272,88.6,88802,82.6,73383,20.3,14892,30.9,4606,25.3,1164,31.2,1438,27.2,1251,16.3,753,0.18,27.0,34.7,5174,6.40,331,5.39,279,80.3,224,3.88,201,84.3,4363,42.7,2211,9.74,504,29.5,1528,18.0,931,34.1,5085,79.4,58289,6.13,3573,20.5,11960,3.34,1949,13.9,8127,16.8,9769,45.6,4453,2.11,206,1.63,159,50.7,4951,66.0,38444,16.4,12025,2.28,1676,6.37,4676,75.0,55006,
B1 BCG_1.fcs,100,133660,74.9,100142,92.5,92612,94.7,87731,47.3,41508,21.6,8979,30.0,2696,34.2,3068,23.8,2136,12.0,1079,0.39,162,50.8,21087,4.39,925,3.02,637,73.2,466,8.59,1812,84.0,17713,64.0,13501,3.06,645,9.94,2095,23.0,4846,27.2,11280,52.6,46171,4.13,1908,38.3,17691,3.69,1704,27.5,12685,11.8,5433,33.8,1839,13.5,734,11.2,608,41.5,2252,57.1,26349,42.8,37574,2.48,2179,4.81,4218,49.9,43760,
B2 BCG_2.fcs,100,126853,78.9,100130,90.3,90466,98.5,89090,14.7,13140,31.1,4092,8.80,360,24.7,1009,60.3,2467,6.26,256,0.98,129,49.1,6452,8.35,539,8.32,537,92.7,498,4.74,306,78.6,5070,23.5,1519,5.67,366,46.4,2996,24.3,1571,18.8,2467,85.1,75808,0.52,397,25.7,19447,1.42,1075,5.70,4321,4.82,3656,20.8,762,13.1,478,15.6,571,50.5,1845,88.1,66756,12.6,11229,0.54,481,1.43,1274,85.4,76106,
B3 BCG_3.fcs,100,153578,65.2,100151,92.6,92748,90.9,84268,30.5,25694,28.5,7312,27.6,2017,21.0,1537,27.1,1980,24.3,1778,0.26,66.0,48.1,12351,4.81,594,3.68,455,73.8,336,5.76,711,85.8,10591,37.2,4594,2.95,364,17.5,2161,42.4,5232,23.2,5965,69.4,58498,3.39,1986,24.9,14576,3.60,2106,19.7,11515,14.9,8688,26.8,2326,2.51,218,3.42,297,67.3,5847,61.9,36189,25.3,21317,1.75,1472,4.73,3989,68.2,57490,
B4 BCG_4.fcs,100,181568,55.2,100212,92.2,92367,87.2,80571,45.0,36259,26.5,9597,29.9,2868,24.9,2385,24.1,2310,21.2,2034,0.49,179,51.4,18641,4.25,793,2.72,507,90.7,460,4.87,908,88.2,16433,46.9,8745,3.94,735,14.2,2642,35.0,6519,21.6,7842,54.9,44206,4.45,1969,26.8,11841,4.81,2128,24.4,10766,9.90,4377,32.9,1441,1.99,87.0,2.35,103,62.7,2746,60.9,26935,40.4,32548,2.62,2107,4.38,3526,52.6,42390,
C1 ID93_1.fcs,100,150912,66.4,100170,91.3,91475,93.9,85874,42.6,36601,27.7,10124,23.9,2422,35.0,3541,27.6,2794,13.5,1367,0.29,107,54.2,19831,4.68,929,3.23,640,82.3,527,6.69,1327,85.4,16935,53.5,10606,3.59,712,9.62,1907,33.3,6606,17.9,6539,57.3,49168,4.25,2091,27.8,13647,4.03,1980,22.5,11063,12.1,5933,37.6,2230,2.58,153,5.56,330,54.3,3220,61.4,30192,38.2,32844,2.46,2115,4.11,3530,55.2,47385,
C2 ID93_2.fcs,100,163520,61.3,100178,90.0,90126,92.5,83391,37.5,31252,33.6,10486,20.2,2114,44.7,4685,27.7,2904,7.47,783,0.36,111,46.1,14395,5.55,799,4.86,700,90.9,636,6.60,950,83.0,11946,54.9,7910,7.45,1073,20.9,3011,16.7,2401,20.0,6260,62.4,52004,9.89,5144,23.3,12126,3.63,1890,24.4,12679,18.7,9733,45.0,4375,4.37,425,2.47,240,48.2,4693,53.3,27702,33.9,28232,2.18,1821,3.61,3007,60.4,50331,
C3 ID93_3.fcs,100,149794,66.9,100169,91.8,91944,94.9,87243,44.4,38720,34.0,13176,22.9,3019,51.1,6738,18.3,2406,7.69,1013,0.34,132,48.1,18638,5.95,1109,5.61,1046,80.4,841,9.27,1727,79.2,14756,60.5,11277,6.34,1181,12.4,2314,20.7,3866,17.5,6774,55.5,48455,6.87,3330,19.2,9302,4.41,2135,35.9,17413,16.9,8170,46.0,3760,2.03,166,2.23,182,49.7,4062,42.8,20737,41.2,35949,1.71,1493,3.06,2670,54.0,47131,
C4 ID93_4.fcs,100,170390,58.8,100208,91.3,91539,91.8,84058,35.4,29770,33.1,9859,21.2,2092,41.1,4055,30.5,3007,7.15,705,0.28,84.0,46.6,13887,6.82,947,6.29,874,85.6,748,4.75,659,82.1,11407,53.7,7455,7.65,1062,20.5,2850,18.1,2520,20.0,5940,64.4,54167,4.45,2412,32.9,17820,3.88,2102,16.0,8682,11.4,6172,38.3,2365,3.55,219,7.37,455,50.8,3133,68.7,37211,31.8,26768,2.07,1737,3.53,2971,62.6,52582,
D1 BCG+ID93_1.fcs,100,137766,66.7,91834,93.4,85808,91.9,78868,29.9,23574,29.0,6827,24.1,1645,39.8,2720,26.8,1833,9.21,629,0.65,153,50.4,11882,5.08,604,5.34,634,73.2,464,11.4,1358,78.2,9286,62.2,7395,4.56,542,15.8,1876,17.4,2069,20.0,4712,70.0,55234,3.49,1925,35.5,19585,3.77,2081,16.1,8892,8.00,4418,34.6,1527,7.72,341,8.37,370,49.3,2180,72.1,39843,26.7,21096,1.45,1141,3.51,2770,68.3,53861,
D2 BCG+ID93_2.fcs,100,131483,71.1,93522,91.9,85957,93.4,80325,25.8,20690,29.9,6193,21.8,1347,36.5,2260,32.9,2036,8.88,550,0.59,123,50.3,10405,6.17,642,6.80,708,70.3,498,10.4,1078,76.7,7977,54.6,5683,5.55,577,20.4,2118,19.5,2027,19.2,3969,74.2,59581,3.28,1955,36.1,21536,3.81,2271,15.3,9103,7.61,4536,34.6,1569,7.56,343,8.09,367,49.8,2257,73.3,43671,22.8,18329,1.23,985,2.78,2237,73.2,58774,
D3 BCG+ID93_3.fcs,100,141998,64.2,91129,93.8,85482,90.7,77557,45.8,35546,27.8,9868,28.3,2789,46.7,4609,16.6,1641,8.40,829,0.54,193,51.1,18171,6.14,1115,5.45,990,49.5,490,13.6,2472,74.8,13594,77.4,14072,4.11,746,7.29,1324,11.2,2029,20.6,7314,54.1,41934,6.53,2739,22.4,9397,4.52,1894,37.6,15784,11.4,4795,35.6,1708,4.59,220,5.65,271,54.1,2596,46.4,19461,41.3,31996,2.59,2005,3.95,3063,52.2,40493,
D4 BCG+ID93_4.fcs,100,152209,58.4,88849,94.8,84186,89.2,75082,44.5,33411,27.9,9331,25.7,2402,49.5,4621,20.5,1911,4.25,397,0.61,203,55.7,18602,3.63,676,3.23,601,72.4,435,14.3,2662,78.8,14663,80.0,14876,5.05,939,9.27,1725,5.71,1062,15.8,5275,55.4,41629,6.00,2499,35.0,14550,4.17,1735,28.6,11888,10.7,4471,33.0,1474,8.39,375,4.92,220,53.7,2402,56.5,23535,40.8,30624,1.95,1466,4.31,3234,53.0,39758,
