,Freq. of Parent (%),Count,Leukocytes | Freq. of Parent (%),Leukocytes | Count,Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Count,Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Count,Leukocytes/Single Cells/LIVE/CD3+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+ | Count,"Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q1: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q1: CD62L- , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q2: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q2: CD62L+ , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q3: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q3: CD62L+ , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q4: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q4: CD62L- , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q2: CD4+ , CD8+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q2: CD4+ , CD8+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q1: CD25- , FOXP3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q1: CD25- , FOXP3+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+/FLR4+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+/FLR4+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q3: CD25+ , FOXP3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q3: CD25+ , FOXP3- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q4: CD25- , FOXP3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q4: CD25- , FOXP3- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q5: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q5: CD62L- , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q6: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q6: CD62L+ , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q7: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q7: CD62L+ , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q8: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q8: CD62L- , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q4: CD4- , CD8- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q4: CD4- , CD8- | Count",Leukocytes/Single Cells/LIVE/CD3- | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3- | Count,"Leukocytes/Single Cells/LIVE/CD3-/CD11b+, Ly6G+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/CD11b+, Ly6G+ | Count",Leukocytes/Single Cells/LIVE/CD3-/CD19+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3-/CD19+ | Count,"Leukocytes/Single Cells/LIVE/CD3-/Q1: CD11b- , CD11c+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q1: CD11b- , CD11c+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q2: CD11b+ , CD11c+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q2: CD11b+ , CD11c+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q1: CD19- , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q1: CD19- , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q2: CD19+ , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q2: CD19+ , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q3: CD19+ , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q3: CD19+ , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q4: CD19- , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q4: CD19- , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q4: CD11b- , CD11c- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q4: CD11b- , CD11c- | Count","Leukocytes/Single Cells/LIVE/Q1: NK1.1- , CD3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: NK1.1- , CD3+ | Count","Leukocytes/Single Cells/LIVE/Q2: NK1.1+ , CD3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: NK1.1+ , CD3+ | Count","Leukocytes/Single Cells/LIVE/Q3: NK1.1+ , CD3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: NK1.1+ , CD3- | Count","Leukocytes/Single Cells/LIVE/Q4: NK1.1- , CD3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q4: NK1.1- , CD3- | Count",
A7 Saline_1.fcs,100,154075,65.1,100238,90.3,90474,92.1,83314,27.5,22937,39.3,9015,18.0,1626,48.2,4347,29.5,2658,4.26,384,0.51,116,32.3,7399,6.73,498,7.15,529,91.3,483,6.15,455,80.0,5917,33.5,2482,11.6,860,38.9,2881,15.9,1176,27.9,6407,72.3,60273,12.8,7693,20.6,12397,3.96,2389,25.9,15607,26.4,15941,22.6,3603,1.41,224,1.76,281,74.2,11833,43.7,26336,23.8,19798,2.36,1967,4.17,3473,69.7,58076,
A8 Saline_2.fcs,100,134855,74.3,100196,92.7,92917,94.5,87819,31.5,27644,38.4,10625,25.3,2693,49.0,5201,19.8,2100,5.94,631,3.97,1097,39.2,10838,12.4,1344,6.08,659,84.7,558,5.42,587,76.1,8248,35.4,3837,9.60,1040,30.0,3253,25.0,2708,18.4,5084,68.5,60116,8.71,5236,19.2,11537,3.24,1947,21.2,12737,16.4,9868,22.9,2256,1.78,176,1.97,194,73.4,7242,59.2,35564,27.9,24506,1.83,1605,3.76,3306,66.5,58402,
A9 Saline_3.fcs,100,178073,94.9,168965,93.3,157706,99.3,156546,14.3,22317,14.3,3185,18.9,603,22.0,702,32.1,1023,26.9,857,24.2,5390,52.1,11622,1.74,202,2.59,301,90.4,272,2.27,264,93.4,10855,11.0,1283,2.60,302,38.1,4430,48.2,5607,9.50,2120,71.9,112544,0.99,1109,1.46,1647,0.84,941,2.64,2975,2.28,2570,28.0,720,2.53,65.0,3.19,82.0,66.3,1703,94.2,106058,11.9,18590,0.81,1273,0.46,719,86.9,135964,
A10 Saline_4.fcs,100,151059,66.3,100201,92.1,92303,91.6,84520,29.8,25205,38.1,9606,26.6,2552,42.6,4088,25.6,2463,5.24,503,0.74,186,34.3,8637,6.12,529,6.81,588,82.3,484,7.97,688,79.1,6832,40.4,3491,9.82,848,31.8,2745,18.0,1553,26.9,6776,70.1,59225,10.5,6235,23.1,13667,4.02,2380,24.1,14275,22.2,13136,22.9,3013,1.32,173,1.32,173,74.4,9777,49.7,29434,25.3,21403,2.69,2271,4.45,3759,67.5,57087,
B7 BCG_1.fcs,100,155258,64.5,100204,92.4,92635,91.6,84852,33.9,28725,36.2,10404,22.6,2349,42.5,4421,26.2,2727,8.72,907,0.96,276,41.1,11811,11.5,1363,9.23,1090,50.2,547,9.09,1074,70.1,8284,64.1,7576,5.73,677,18.2,2151,11.9,1407,21.7,6234,66.0,56022,8.83,4948,33.4,18695,4.32,2418,30.5,17088,11.1,6212,30.4,1886,4.88,303,2.88,179,61.9,3844,54.1,30304,29.4,24972,2.80,2373,5.35,4538,62.4,52969,
B8 BCG_2.fcs,100,119350,83.9,100085,92.7,92763,96.9,89888,27.8,24967,46.7,11662,13.5,1578,30.0,3504,45.7,5325,10.8,1255,1.74,434,40.3,10071,6.36,641,9.78,985,79.9,787,9.69,976,74.2,7469,38.9,3917,10.9,1100,40.7,4099,9.48,955,11.2,2800,72.1,64850,2.03,1317,59.5,38616,2.74,1777,8.54,5538,3.66,2371,28.6,679,26.8,635,13.2,313,31.4,744,85.1,55164,25.8,23201,1.18,1062,2.09,1877,70.9,63748,
B9 BCG_3.fcs,100,155729,64.3,100194,93.4,93576,87.8,82188,41.8,34391,34.3,11791,25.9,3058,52.5,6185,14.9,1760,6.68,788,0.59,204,46.7,16075,5.11,822,4.13,664,74.7,496,12.4,1992,78.4,12597,75.1,12077,3.63,583,7.93,1274,13.3,2141,18.4,6321,58.1,47720,13.4,6418,19.3,9221,6.17,2945,40.6,19359,16.5,7869,34.8,2741,2.53,199,2.24,176,60.4,4753,36.8,17547,37.1,30527,2.80,2302,6.93,5696,53.1,43663,
B10 BCG_4.fcs,100,157339,63.7,100171,93.7,93858,88.7,83243,44.1,36670,33.0,12099,23.4,2837,53.7,6495,19.0,2299,3.87,468,0.60,219,47.0,17227,5.12,882,4.46,768,68.2,524,11.4,1966,79.0,13611,70.1,12081,4.73,815,13.5,2324,11.7,2007,19.4,7125,55.9,46511,9.41,4376,19.0,8853,6.26,2913,38.5,17924,13.7,6362,41.1,2613,2.37,151,1.48,94.0,55.1,3504,41.5,19312,39.5,32882,2.68,2234,7.63,6350,50.2,41777,
C8 ID93_2.fcs,100,158363,63.3,100276,90.5,90793,93.1,84568,27.5,23281,34.3,7988,19.9,1591,42.3,3380,30.1,2402,7.70,615,0.30,71.0,37.8,8804,5.71,503,7.91,696,87.4,608,9.67,851,76.7,6754,49.2,4335,8.02,706,26.2,2310,16.5,1453,27.6,6418,72.4,61192,10.6,6511,18.5,11319,4.66,2851,34.6,21178,17.3,10573,37.9,4011,1.93,204,1.77,187,58.4,6171,43.5,26590,24.6,20845,1.63,1379,3.93,3323,69.8,59021,
C9 ID93_3.fcs,100,172966,57.9,100207,90.7,90855,89.9,81721,31.2,25482,32.8,8357,20.8,1737,32.3,2701,36.2,3022,10.7,897,0.29,73.0,41.3,10532,5.34,562,4.67,492,93.1,458,4.13,435,85.9,9043,43.0,4527,7.03,740,30.9,3254,19.1,2011,25.6,6520,68.7,56108,9.26,5196,23.2,13037,4.86,2726,22.1,12399,15.3,8604,37.0,3187,2.95,254,7.35,632,52.7,4531,57.7,32379,27.7,22666,1.85,1508,3.79,3100,66.6,54447,
C10 ID93_4.fcs,100,113942,87.8,100058,93.2,93240,97.8,91223,49.1,44751,39.2,17550,3.48,610,12.9,2261,77.8,13652,5.85,1027,1.45,651,47.5,21278,2.19,467,4.03,857,97.4,835,5.24,1116,88.5,18838,12.6,2677,5.87,1250,69.5,14778,12.1,2573,11.8,5272,50.9,46430,4.95,2296,34.5,16000,2.88,1339,8.01,3717,7.64,3548,51.9,1842,16.5,587,6.79,241,24.7,878,81.5,37826,46.4,42320,1.05,962,1.15,1045,51.4,46896,
D7 BCG+ID93_1.fcs,100,143734,63.0,90541,93.7,84875,91.6,77711,48.8,37925,28.8,10924,26.9,2934,55.8,6097,13.0,1417,4.36,476,0.60,229,53.2,20175,3.17,640,3.64,735,52.9,389,19.2,3876,74.0,14924,82.9,16724,3.18,641,6.22,1255,7.71,1555,17.4,6597,51.1,39694,11.6,4594,15.3,6054,6.00,2381,43.3,17172,10.7,4239,43.5,1845,1.89,80.0,2.15,91.0,52.4,2223,40.1,15902,43.7,33990,2.74,2131,5.13,3990,48.4,37600,
D8 BCG+ID93_2.fcs,100,111724,81.9,91533,92.7,84810,97.4,82642,32.9,27158,43.9,11913,9.11,1085,29.8,3546,48.4,5764,12.7,1518,1.48,402,43.2,11739,6.18,726,9.48,1113,92.3,1027,10.1,1189,74.2,8711,41.4,4865,10.1,1185,35.9,4214,12.6,1475,11.4,3104,67.1,55423,2.72,1507,48.3,26784,2.72,1510,8.85,4906,4.66,2582,30.9,799,27.5,711,15.2,393,26.3,679,83.8,46425,30.5,25239,1.40,1155,1.62,1335,66.4,54913,
