,Freq. of Parent (%),Count,Leukocytes | Freq. of Parent (%),Leukocytes | Count,Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Count,Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Count,Leukocytes/Single Cells/LIVE/CD3+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+ | Count,"Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q1: CD44- , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q1: CD44- , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q2: CD44+ , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q2: CD44+ , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q3: CD44+ , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q3: CD44+ , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q4: CD44- , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q1: CD4- , CD8+/Q4: CD44- , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q2: CD4+ , CD8+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q2: CD4+ , CD8+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q1: CD25- , FOXP3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q1: CD25- , FOXP3+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+/FLR4+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q2: CD25+ , FOXP3+/FLR4+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q3: CD25+ , FOXP3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q3: CD25+ , FOXP3- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q4: CD25- , FOXP3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q4: CD25- , FOXP3- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q5: CD44- , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q5: CD44- , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q6: CD44+ , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q6: CD44+ , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q7: CD44+ , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q7: CD44+ , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q8: CD44- , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q3: CD4+ , CD8-/Q8: CD44- , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3+/Q4: CD4- , CD8- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/Q4: CD4- , CD8- | Count",Leukocytes/Single Cells/LIVE/CD3- | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3- | Count,"Leukocytes/Single Cells/LIVE/CD3-/CD11b+, Ly6G+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/CD11b+, Ly6G+ | Count",Leukocytes/Single Cells/LIVE/CD3-/CD19+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3-/CD19+ | Count,"Leukocytes/Single Cells/LIVE/CD3-/Q1: CD11b- , CD11c+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q1: CD11b- , CD11c+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q2: CD11b+ , CD11c+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q2: CD11b+ , CD11c+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q1: CD19- , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q1: CD19- , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q2: CD19+ , CD62L+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q2: CD19+ , CD62L+ | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q3: CD19+ , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q3: CD19+ , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q4: CD19- , CD62L- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q3: CD11b+ , CD11c-/Q4: CD19- , CD62L- | Count","Leukocytes/Single Cells/LIVE/CD3-/Q4: CD11b- , CD11c- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3-/Q4: CD11b- , CD11c- | Count","Leukocytes/Single Cells/LIVE/Q1: NK1.1- , CD3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: NK1.1- , CD3+ | Count","Leukocytes/Single Cells/LIVE/Q2: NK1.1+ , CD3+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: NK1.1+ , CD3+ | Count","Leukocytes/Single Cells/LIVE/Q3: NK1.1+ , CD3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: NK1.1+ , CD3- | Count","Leukocytes/Single Cells/LIVE/Q4: NK1.1- , CD3- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q4: NK1.1- , CD3- | Count",
A1 Saline_1.fcs,100,150000,65.8,98697,89.0,87803,95.2,83579,27.7,23171,19.5,4525,18.8,852,7.03,318,52.6,2382,21.5,973,0.44,101,67.7,15686,3.40,533,4.63,726,91.7,666,4.01,629,88.0,13798,11.0,1718,0.33,52.0,21.0,3290,67.7,10626,12.3,2859,72.5,60628,3.26,1977,35.1,21288,1.34,815,6.43,3897,16.9,10216,40.2,4106,2.47,252,1.51,154,55.8,5704,75.4,45700,14.6,12171,0.13,109,1.76,1475,83.5,69824,
A2 Saline_2.fcs,100,150000,58.0,86947,90.0,78216,91.5,71569,36.2,25914,27.5,7119,13.0,924,7.52,535,55.5,3953,24.0,1707,0.70,182,58.9,15266,3.41,521,4.59,700,94.0,658,4.49,685,87.5,13360,8.67,1323,0.47,72.0,27.7,4228,63.2,9643,12.9,3347,63.8,45631,4.30,1964,38.9,17728,2.05,935,8.92,4072,16.1,7353,40.5,2976,4.31,317,3.54,260,51.7,3800,72.9,33271,22.5,16092,0.24,174,2.07,1479,75.2,53824,
A3 Saline_3.fcs,100,150000,58.1,87184,88.2,76930,91.8,70647,36.6,25875,27.5,7107,11.5,815,7.49,532,56.5,4017,24.5,1743,0.66,172,58.7,15191,3.60,547,4.82,732,93.2,682,4.27,649,87.3,13263,7.97,1211,0.40,61.0,23.5,3572,68.1,10347,13.2,3405,63.0,44531,4.25,1893,37.8,16833,1.83,814,8.82,3927,16.0,7105,40.4,2869,3.77,268,3.25,231,52.6,3737,73.4,32685,21.7,15310,0.23,163,2.03,1435,76.1,53739,
A4 Saline_4.fcs,100,150000,54.0,81050,89.1,72238,91.3,65947,39.2,25846,29.4,7603,4.96,377,3.56,271,64.8,4929,26.6,2026,1.21,313,55.6,14367,2.22,319,4.13,594,90.2,536,4.21,605,89.4,12849,3.29,473,0.15,22.0,22.2,3183,74.4,10689,13.8,3563,60.6,39945,4.95,1979,17.4,6962,2.84,1133,9.93,3965,20.7,8256,32.4,2678,2.94,243,2.18,180,62.4,5155,66.6,26591,38.1,25153,0.24,160,1.31,861,60.3,39773,
B1 BCG_1.fcs,100,150000,42.5,63741,91.0,58016,83.9,48693,41.6,20246,37.2,7527,18.1,1363,21.4,1614,47.3,3561,13.1,989,1.36,275,49.1,9939,3.91,389,3.62,360,96.9,349,8.45,840,84.0,8350,16.5,1638,1.24,123,43.9,4365,38.4,3813,12.4,2505,58.0,28260,5.25,1484,52.1,14723,2.30,650,9.52,2691,10.2,2876,37.5,1079,9.77,281,6.57,189,46.1,1327,78.0,22043,37.6,18317,1.29,626,2.42,1178,58.7,28572,
B2 BCG_2.fcs,100,150000,49.7,74520,91.2,67995,84.8,57638,36.9,21256,31.2,6628,17.1,1131,16.6,1101,53.2,3528,13.1,868,1.89,402,55.3,11765,3.43,403,3.68,433,94.7,410,8.90,1047,84.0,9882,11.0,1298,0.93,110,50.8,5973,37.3,4384,11.6,2461,62.7,36147,3.96,1432,62.3,22502,1.46,529,6.81,2462,8.76,3166,30.0,949,18.6,588,9.57,303,41.9,1326,83.0,29990,33.1,19105,0.53,303,1.33,766,65.0,37464,
B4 BCG_4.fcs,100,150000,46.7,70116,91.5,64135,87.1,55846,42.2,23552,33.2,7823,15.1,1184,15.8,1238,53.8,4212,15.2,1189,1.23,290,57.4,13508,2.81,379,3.24,437,97.0,424,7.06,954,86.9,11738,11.3,1520,0.61,83.0,40.4,5462,47.7,6443,8.20,1931,57.4,32073,4.75,1523,61.1,19596,1.77,569,8.21,2634,9.26,2970,37.4,1111,11.9,352,7.34,218,43.4,1289,80.8,25900,38.2,21349,0.42,235,1.75,978,59.6,33284,
C1 ID93_1.fcs,100,150000,51.8,77644,85.1,66047,89.4,59066,37.7,22240,25.6,5699,14.9,850,8.88,506,57.9,3299,18.3,1044,0.69,153,60.6,13472,2.75,370,3.59,484,95.7,463,4.05,546,89.6,12072,13.1,1766,0.44,59.0,27.0,3632,59.5,8015,13.1,2916,61.9,36571,7.98,2920,43.3,15843,2.03,743,9.26,3387,18.8,6883,42.7,2940,5.23,360,2.35,162,49.7,3421,69.9,25558,32.6,19279,0.36,215,1.84,1085,65.2,38487,
C2 ID93_2.fcs,100,150000,46.6,69919,85.1,59485,83.8,49861,48.6,24209,26.8,6496,11.3,733,7.20,468,58.9,3827,22.6,1468,0.94,228,60.4,14630,1.87,274,3.03,443,95.0,421,4.97,727,90.1,13186,9.87,1444,0.28,41.0,24.6,3592,65.3,9553,11.8,2855,50.8,25318,6.00,1518,35.4,8971,3.24,820,11.2,2823,18.1,4593,32.4,1487,5.73,263,7.49,344,54.4,2499,67.5,17082,42.0,20939,0.29,144,1.76,877,56.0,27901,
C3 ID93_3.fcs,100,150000,46.5,69782,86.6,60444,86.8,52462,53.9,28267,38.8,10955,7.87,862,36.3,3982,43.4,4752,12.4,1359,1.13,320,46.3,13082,3.33,436,3.46,452,96.9,438,5.87,768,87.3,11426,5.27,689,0.65,85.0,45.8,5987,48.3,6321,13.8,3910,45.8,24010,13.5,3242,39.4,9456,2.80,672,15.9,3816,20.2,4859,60.4,2935,4.88,237,2.49,121,32.2,1566,61.1,14663,48.9,25637,0.65,340,2.05,1073,48.4,25412,
D1 BCG+ID93_1.fcs,100,150000,56.4,84662,93.2,78917,90.4,71311,32.3,23068,28.1,6476,22.6,1462,11.7,756,43.0,2786,22.7,1472,0.47,108,54.7,12610,4.66,587,3.61,455,96.3,438,4.00,505,87.7,11063,18.9,2380,0.42,53.0,21.6,2722,59.1,7455,16.8,3874,67.3,47981,4.22,2023,50.0,24001,1.67,799,9.40,4511,12.9,6166,38.2,2354,4.35,268,3.94,243,53.5,3301,76.1,36505,28.7,20495,0.49,351,2.13,1516,68.6,48949,
D2 BCG+ID93_2.fcs,100,150000,52.8,79169,91.9,72737,89.3,64923,38.5,24980,29.8,7433,17.7,1312,16.4,1219,53.3,3965,12.6,937,0.62,155,57.1,14253,3.58,510,3.07,438,96.3,422,5.82,829,87.5,12476,13.2,1884,0.72,103,38.0,5415,48.1,6851,12.6,3139,61.2,39734,6.94,2757,63.0,25015,1.90,754,9.23,3666,11.7,4637,40.4,1872,14.1,654,10.3,478,35.2,1633,77.2,30677,34.9,22670,0.90,582,2.69,1749,61.5,39922,
D3 BCG+ID93_3.fcs,100,150000,57.4,86151,92.7,79837,90.6,72348,40.2,29057,31.4,9125,22.1,2020,11.4,1043,49.3,4496,17.2,1566,0.77,225,53.2,15453,3.25,502,4.05,626,97.6,611,6.27,969,86.4,13356,16.2,2507,0.69,106,36.8,5692,46.3,7148,14.6,4254,59.5,43022,6.45,2775,68.4,29445,1.96,844,9.90,4260,10.2,4388,40.0,1756,11.9,523,7.45,327,40.6,1782,77.9,33530,35.2,25467,0.82,591,2.44,1763,61.5,44527,
