,Freq. of Parent (%),Count,Leukocytes | Freq. of Parent (%),Leukocytes | Count,Leukocytes | Freq. of LIVE (%),Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Count,Leukocytes/Single Cells | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Count,Leukocytes/Single Cells/LIVE | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE/CD3+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+ | Count,Leukocytes/Single Cells/LIVE/CD3+ | Freq. of LIVE (%),Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Count,Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Freq. of LIVE (%),"Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q5: FOXP3- , CD25+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q5: FOXP3- , CD25+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q6: FOXP3+ , CD25+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q6: FOXP3+ , CD25+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q6: FOXP3+ , CD25+/FLR4+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q6: FOXP3+ , CD25+/FLR4+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q7: FOXP3+ , CD25- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q7: FOXP3+ , CD25- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q8: FOXP3- , CD25- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: CD62L- , CD44+/Q8: FOXP3- , CD25- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: CD62L+ , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: CD62L+ , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: CD62L- , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: CD62L- , CD44- | Freq. of LIVE (%)",Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Count,Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Freq. of LIVE (%),"Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q1: CD62L- , CD44+/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q2: CD62L+ , CD44+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q2: CD62L+ , CD44+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q2: CD62L+ , CD44+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q1: PD1- , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q2: PD1+ , KLRG1+ | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q3: PD1+ , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q3: CD62L+ , CD44-/Q4: PD1- , KLRG1- | Freq. of LIVE (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q4: CD62L- , CD44- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q4: CD62L- , CD44- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD8+/Q4: CD62L- , CD44- | Freq. of LIVE (%)",
A1 Saline_1.fcs,100,152842,71.1,108710,n/a,94.8,103094,n/a,80.5,82970,100,30.0,24908,30.0,47.0,11707,14.1,36.8,4306,5.19,8.15,351,0.42,4.58,197,0.24,36.1,1553,1.87,51.2,2205,2.66,4.32,186,5.27,227,74.9,170,9.73,419,80.7,3474,5.10,597,0.72,27.6,3236,3.90,0.12,4.00,4.82E-3,0.37,12.0,0.014,4.88,158,0.19,94.6,3062,3.69,30.5,3568,4.30,29.6,7363,8.87,2.55,188,0.23,6.38,12.0,0.014,5.85,11.0,0.013,60.6,114,0.14,27.1,51.0,0.061,0.58,43.0,0.052,58.9,4334,5.22,1.13,49.0,0.059,0.23,10.0,0.012,1.75,76.0,0.092,96.9,4199,5.06,38.0,2798,3.37,
A2 Saline_2.fcs,100,108489,92.9,100839,n/a,92.5,93260,n/a,92.8,86543,100,29.5,25556,29.5,41.8,10695,12.4,20.0,2137,2.47,1.64,35.0,0.040,3.04,65.0,0.075,47.9,1023,1.18,47.4,1014,1.17,9.12,195,9.73,208,87.0,181,13.9,298,67.2,1436,5.85,626,0.72,41.6,4444,5.14,0.32,14.0,0.016,0.090,4.00,4.62E-3,4.70,209,0.24,94.9,4217,4.87,32.6,3488,4.03,36.3,9287,10.7,0.42,39.0,0.045,10.3,4.00,4.62E-3,7.69,3.00,3.47E-3,56.4,22.0,0.025,25.6,10.0,0.012,0.18,17.0,0.020,68.6,6367,7.36,0.52,33.0,0.038,0.20,13.0,0.015,1.32,84.0,0.097,98.0,6237,7.21,30.8,2864,3.31,
A3 Saline_3.fcs,100,178926,58.5,104690,n/a,93.1,97477,n/a,81.8,79739,100,26.7,21285,26.7,47.4,10079,12.6,38.5,3879,4.86,2.27,88.0,0.11,2.24,87.0,0.11,42.3,1640,2.06,53.2,2064,2.59,2.19,85.0,4.59,178,88.8,158,8.04,312,85.2,3304,2.63,265,0.33,15.9,1603,2.01,0.44,7.00,8.78E-3,0.69,11.0,0.014,5.74,92.0,0.12,93.1,1493,1.87,43.0,4332,5.43,20.7,4412,5.53,1.02,45.0,0.056,6.67,3.00,3.76E-3,0,0,0,71.1,32.0,0.040,22.2,10.0,0.013,0.29,13.0,0.016,56.7,2502,3.14,0.72,18.0,0.023,0.080,2.00,2.51E-3,3.04,76.0,0.095,96.2,2406,3.02,42.0,1852,2.32,
A4 Saline_4.fcs,100,214111,49.9,106780,n/a,92.9,99193,n/a,68.7,68169,100,17.2,11706,17.2,41.9,4909,7.20,41.6,2042,3.00,5.09,104,0.15,2.35,48.0,0.070,34.3,701,1.03,58.2,1189,1.74,2.79,57.0,3.77,77.0,74.0,57.0,7.88,161,85.6,1747,5.74,282,0.41,28.8,1416,2.08,0.071,1.00,1.47E-3,0.14,2.00,2.93E-3,5.93,84.0,0.12,93.9,1329,1.95,23.8,1169,1.71,26.3,3082,4.52,4.64,143,0.21,4.90,7.00,0.010,6.99,10.0,0.015,68.5,98.0,0.14,19.6,28.0,0.041,0.94,29.0,0.043,55.8,1720,2.52,0.81,14.0,0.021,0.17,3.00,4.40E-3,2.62,45.0,0.066,96.4,1658,2.43,38.6,1190,1.75,
B1 BCG_1.fcs,100,133660,76.8,102639,n/a,94.8,97281,n/a,81.6,79412,100,43.2,34310,43.2,57.7,19791,24.9,59.3,11745,14.8,26.4,3095,3.90,13.2,1550,1.95,22.1,2597,3.27,38.3,4503,5.67,3.96,465,1.22,143,58.7,84.0,4.73,556,90.1,10581,1.96,387,0.49,9.63,1905,2.40,0.84,16.0,0.020,0.26,5.00,6.30E-3,2.31,44.0,0.055,96.6,1840,2.32,29.1,5754,7.25,17.4,5970,7.52,4.27,255,0.32,23.5,60.0,0.076,6.27,16.0,0.020,18.4,47.0,0.059,51.8,132,0.17,0.75,45.0,0.057,54.4,3250,4.09,3.20,104,0.13,0.15,5.00,6.30E-3,1.78,58.0,0.073,94.9,3083,3.88,40.5,2420,3.05,
B2 BCG_2.fcs,100,126853,82.9,105116,n/a,94.3,99076,n/a,94.1,93280,100,11.7,10890,11.7,55.0,5987,6.42,22.6,1354,1.45,15.4,209,0.22,4.80,65.0,0.070,21.1,286,0.31,58.6,794,0.85,6.28,85.0,5.32,72.0,84.7,61.0,12.9,175,75.5,1022,3.99,239,0.26,42.4,2539,2.72,0.59,15.0,0.016,0.16,4.00,4.29E-3,1.77,45.0,0.048,97.5,2475,2.65,31.0,1855,1.99,28.1,3057,3.28,1.77,54.0,0.058,33.3,18.0,0.019,1.85,1.00,1.07E-3,14.8,8.00,8.58E-3,50.0,27.0,0.029,0.29,9.00,9.65E-3,86.3,2637,2.83,0.61,16.0,0.017,0.038,1.00,1.07E-3,0.61,16.0,0.017,98.7,2604,2.79,11.7,357,0.38,
B3 BCG_3.fcs,100,153578,67.7,103918,n/a,95.2,98943,n/a,78.4,77596,100,24.1,18685,24.1,56.1,10489,13.5,33.9,3559,4.59,21.1,751,0.97,5.84,208,0.27,18.5,657,0.85,54.6,1943,2.50,3.79,135,2.81,100,66.0,66.0,4.58,163,88.8,3161,2.01,211,0.27,17.0,1783,2.30,1.01,18.0,0.023,0.17,3.00,3.87E-3,2.92,52.0,0.067,95.9,1710,2.20,47.1,4936,6.36,22.6,4217,5.43,3.84,162,0.21,24.1,39.0,0.050,3.09,5.00,6.44E-3,20.4,33.0,0.043,52.5,85.0,0.11,0.47,20.0,0.026,43.9,1853,2.39,4.96,92.0,0.12,0.16,3.00,3.87E-3,1.24,23.0,0.030,93.6,1735,2.24,51.7,2182,2.81,
B4 BCG_4.fcs,100,181568,59.0,107068,n/a,95.1,101872,n/a,72.5,73907,100,41.2,30462,41.2,58.1,17701,24.0,42.4,7504,10.2,23.6,1772,2.40,6.89,517,0.70,21.3,1596,2.16,48.2,3619,4.90,3.24,243,1.44,108,90.7,98.0,3.22,242,92.1,6911,2.45,434,0.59,13.7,2422,3.28,0.95,23.0,0.031,0.50,12.0,0.016,4.05,98.0,0.13,94.5,2289,3.10,41.5,7341,9.93,21.1,6433,8.70,2.07,133,0.18,28.6,38.0,0.051,9.02,12.0,0.016,21.1,28.0,0.038,41.4,55.0,0.074,0.53,34.0,0.046,46.4,2983,4.04,4.83,144,0.19,0.17,5.00,6.77E-3,1.88,56.0,0.076,93.1,2778,3.76,51.0,3283,4.44,
C1 ID93_1.fcs,100,150912,68.3,103130,n/a,94.3,97253,n/a,80.6,78370,100,38.9,30474,38.9,62.3,18976,24.2,49.1,9323,11.9,12.1,1131,1.44,7.76,723,0.92,32.2,2998,3.83,48.0,4471,5.70,3.57,333,1.71,159,76.7,122,4.29,400,90.4,8431,2.17,412,0.53,9.03,1713,2.19,1.58,27.0,0.034,0.70,12.0,0.015,5.20,89.0,0.11,92.5,1585,2.02,39.7,7528,9.61,21.6,6592,8.41,1.74,115,0.15,5.22,6.00,7.66E-3,6.09,7.00,8.93E-3,53.0,61.0,0.078,35.7,41.0,0.052,0.53,35.0,0.045,58.5,3857,4.92,2.85,110,0.14,0.36,14.0,0.018,2.13,82.0,0.10,94.7,3651,4.66,39.2,2585,3.30,
C2 ID93_2.fcs,100,163520,63.6,103926,n/a,93.1,96729,n/a,75.7,73223,100,34.2,25041,34.2,55.3,13842,18.9,53.3,7384,10.1,7.10,524,0.72,6.11,451,0.62,44.8,3310,4.52,42.0,3099,4.23,4.69,346,3.07,227,86.3,196,5.70,421,86.5,6390,4.90,678,0.93,20.6,2846,3.89,0.46,13.0,0.018,0.39,11.0,0.015,3.94,112,0.15,95.2,2710,3.70,21.2,2934,4.01,26.7,6674,9.11,2.08,139,0.19,9.35,13.0,0.018,12.2,17.0,0.023,41.7,58.0,0.079,36.7,51.0,0.070,1.41,94.0,0.13,67.0,4473,6.11,1.01,45.0,0.061,0.25,11.0,0.015,2.84,127,0.17,95.9,4290,5.86,29.5,1968,2.69,
C3 ID93_3.fcs,100,149794,68.9,103248,n/a,94.4,97429,n/a,74.0,72089,100,39.7,28615,39.7,62.3,17821,24.7,57.6,10257,14.2,4.99,512,0.71,3.60,369,0.51,49.1,5040,6.99,42.3,4336,6.01,5.85,600,3.42,351,73.2,257,5.80,595,84.9,8711,4.18,745,1.03,12.1,2161,3.00,0.83,18.0,0.025,0.37,8.00,0.011,3.70,80.0,0.11,95.1,2055,2.85,26.1,4658,6.46,23.6,6748,9.36,2.64,178,0.25,14.6,26.0,0.036,9.55,17.0,0.024,28.1,50.0,0.069,47.8,85.0,0.12,0.98,66.0,0.092,57.8,3902,5.41,3.84,150,0.21,0.21,8.00,0.011,3.13,122,0.17,92.8,3622,5.02,38.6,2602,3.61,
C4 ID93_4.fcs,100,170390,60.9,103781,n/a,94.5,98120,n/a,76.0,74536,100,30.6,22789,30.6,57.6,13116,17.6,51.3,6725,9.02,4.31,290,0.39,4.64,312,0.42,47.2,3177,4.26,43.8,2946,3.95,2.87,193,4.74,319,86.5,276,8.21,552,84.2,5661,4.98,653,0.88,20.8,2729,3.66,0.44,12.0,0.016,0.26,7.00,9.39E-3,4.65,127,0.17,94.7,2583,3.47,22.9,3009,4.04,24.5,5580,7.49,2.78,155,0.21,5.16,8.00,0.011,11.0,17.0,0.023,58.1,90.0,0.12,25.8,40.0,0.054,0.54,30.0,0.040,67.1,3744,5.02,1.58,59.0,0.079,0.32,12.0,0.016,4.19,157,0.21,93.9,3516,4.72,29.6,1651,2.22,
D1 BCG+ID93_1.fcs,100,137766,68.7,94699,n/a,95.6,90579,n/a,79.0,71538,100,24.7,17649,24.7,60.3,10646,14.9,58.3,6207,8.68,15.5,962,1.34,8.49,527,0.74,29.9,1856,2.59,46.1,2862,4.00,5.12,318,2.74,170,61.2,104,6.03,374,86.1,5345,3.16,336,0.47,14.9,1588,2.22,0.76,12.0,0.017,0.31,5.00,6.99E-3,4.60,73.0,0.10,94.3,1498,2.09,23.6,2515,3.52,22.7,4001,5.59,3.82,153,0.21,15.0,23.0,0.032,5.23,8.00,0.011,28.1,43.0,0.060,51.6,79.0,0.11,0.87,35.0,0.049,60.7,2429,3.40,1.89,46.0,0.064,0.37,9.00,0.013,2.88,70.0,0.098,94.9,2304,3.22,34.6,1384,1.93,
D2 BCG+ID93_2.fcs,100,131483,73.1,96053,n/a,94.5,90770,n/a,81.6,74072,100,21.3,15785,21.3,59.7,9423,12.7,52.5,4951,6.68,20.7,1027,1.39,9.05,448,0.60,26.9,1333,1.80,43.3,2143,2.89,5.96,295,3.76,186,61.3,114,8.30,411,82.0,4059,3.64,343,0.46,18.9,1779,2.40,0.90,16.0,0.022,0.39,7.00,9.45E-3,2.25,40.0,0.054,96.5,1716,2.32,24.9,2350,3.17,24.2,3824,5.16,2.48,95.0,0.13,15.8,15.0,0.020,5.26,5.00,6.75E-3,26.3,25.0,0.034,52.6,50.0,0.068,1.15,44.0,0.059,64.6,2471,3.34,1.66,41.0,0.055,0.16,4.00,5.40E-3,2.51,62.0,0.084,95.7,2364,3.19,31.7,1214,1.64,
