,Freq. of Parent (%),Count,Leukocytes | Freq. of Parent (%),Leukocytes | Count,Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Count,Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Count,Leukocytes/Single Cells/LIVE/CD3+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+ | Count,Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Count,"Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: FOXP3- , CD25+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: FOXP3- , CD25+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: FOXP3+ , CD25- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: FOXP3+ , CD25- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: FOXP3- , CD25- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: FOXP3- , CD25- | Count",Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Count,
A1 Saline_1.fcs,100,152842,66.0,100813,92.0,92702,94.7,87758,34.5,30262,41.1,12444,5.54,690,8.48,1055,83.8,884,16.2,171,7.91,984,78.1,9715,31.2,9439,
A2 Saline_2.fcs,100,108489,92.4,100246,88.5,88674,98.5,87348,32.2,28121,39.8,11204,6.57,736,13.4,1504,84.4,1270,15.0,226,10.8,1213,69.2,7751,35.7,10053,
A3 Saline_3.fcs,100,178926,53.3,95388,87.4,83414,91.4,76254,32.4,24740,42.8,10590,2.46,261,7.54,798,81.7,652,18.2,145,9.90,1048,80.1,8483,20.9,5159,
A4 Saline_4.fcs,100,214111,41.2,88185,88.2,77819,82.3,64046,21.6,13860,36.3,5035,3.22,162,5.40,272,72.4,197,27.6,75.0,6.71,338,84.7,4263,26.9,3734,
B1 BCG_1.fcs,100,133660,73.2,97890,93.1,91128,94.9,86466,47.0,40608,52.6,21346,5.43,1160,2.57,549,65.0,357,33.2,182,5.41,1155,86.6,18482,19.7,8015,
B2 BCG_2.fcs,100,126853,86.3,109421,91.0,99595,97.9,97513,15.5,15079,53.1,8001,3.92,314,8.79,703,82.1,577,18.1,127,9.82,786,77.5,6198,28.6,4318,
B3 BCG_3.fcs,100,153578,65.1,100015,93.2,93173,89.4,83255,30.4,25286,49.8,12600,4.94,623,3.53,445,70.3,313,29.7,132,4.99,629,86.5,10903,24.7,6258,
B4 BCG_4.fcs,100,181568,52.7,95623,92.1,88025,88.5,77863,46.0,35840,52.5,18810,4.64,872,3.23,608,77.8,473,22.0,134,5.48,1031,86.7,16299,22.8,8187,
C1 ID93_1.fcs,100,150912,65.7,99120,91.5,90723,94.0,85284,42.8,36484,55.0,20059,5.49,1101,3.27,655,75.4,494,24.6,161,5.26,1056,86.0,17247,24.8,9036,
C2 ID93_2.fcs,100,163520,58.6,95809,89.2,85472,93.3,79717,37.8,30153,47.4,14303,5.26,752,4.92,703,83.2,585,16.6,117,6.88,984,82.9,11864,31.2,9401,
C3 ID93_3.fcs,100,149794,66.8,99996,90.6,90585,94.4,85501,44.4,37993,49.0,18621,7.52,1400,5.03,937,80.6,755,19.3,181,6.27,1168,81.2,15116,31.4,11946,
C4 ID93_4.fcs,100,170390,57.2,97429,88.2,85893,92.1,79131,36.1,28560,48.2,13779,3.50,482,5.92,816,80.0,653,19.9,162,7.69,1060,82.9,11421,29.9,8540,
D1 BCG+ID93_1.fcs,100,137766,66.2,91202,92.0,83904,91.6,76890,29.6,22741,52.7,11976,6.88,824,4.19,502,70.5,354,28.7,144,6.24,747,82.7,9903,27.0,6145,
D2 BCG+ID93_2.fcs,100,131483,71.5,94033,92.9,87372,92.1,80455,25.1,20183,52.3,10562,6.49,685,5.49,580,66.9,388,32.9,191,8.19,865,79.8,8432,27.9,5636,
D3 BCG+ID93_3.fcs,100,141998,60.3,85591,94.7,81070,90.7,73569,47.3,34774,52.0,18097,8.13,1471,3.94,713,51.8,369,48.2,344,6.72,1217,81.2,14696,25.5,8881,
D4 BCG+ID93_4.fcs,100,152209,53.8,81905,93.7,76785,91.3,70118,46.0,32284,57.2,18459,8.29,1530,2.69,496,69.0,342,31.0,154,4.78,883,84.2,15550,26.7,8619,
Mean,100,153006,64.4,95792,91.1,87271,92.3,80698,35.5,28560,48.9,14118,5.52,816,5.52,708,74.7,541,25.1,165,7.07,948,81.9,11645,27.2,7710,
SD,0,25175,12.7,6651,2.24,5920,3.82,7944,9.71,7896,5.94,4675,1.73,421,2.85,286,8.87,266,8.78,58.8,1.85,235,4.49,4191,4.18,2265,
