,Freq. of Parent (%),Count,Leukocytes | Freq. of Parent (%),Leukocytes | Count,Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Count,Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Count,Leukocytes/Single Cells/LIVE/CD3+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+ | Count,Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD4+ | Count,"Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: FOXP3- , CD25+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q1: FOXP3- , CD25+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4+ | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q2: FOXP3+ , CD25+/FLR4- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: FOXP3+ , CD25- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q3: FOXP3+ , CD25- | Count","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: FOXP3- , CD25- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/CD3+/CD4+/Q4: FOXP3- , CD25- | Count",Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Freq. of Parent (%),Leukocytes/Single Cells/LIVE/CD3+/CD8+ | Count,
A1 Saline_1.fcs,100,125485,79.2,99381,94.1,93522,95.2,89036,47.4,42205,45.2,19082,2.04,390,6.46,1233,96.8,1193,3.00,37.0,17.7,3369,73.8,14090,43.1,18200,
A2 Saline_2.fcs,100,128763,79.8,102738,92.4,94912,95.2,90343,47.1,42530,48.4,20580,1.80,371,4.20,865,96.2,832,3.70,32.0,8.14,1676,85.9,17668,39.4,16773,
A3 Saline_3.fcs,100,121014,86.9,105146,92.0,96786,95.3,92191,41.6,38362,56.7,21742,1.25,271,3.50,762,97.2,741,2.49,19.0,20.0,4359,75.2,16350,30.0,11507,
A4 Saline_4.fcs,100,123656,84.3,104223,93.6,97552,94.1,91798,46.8,42938,47.2,20261,2.37,480,3.83,777,97.4,757,2.45,19.0,9.50,1925,84.3,17079,41.0,17623,
B1 BCG_1.fcs,100,125606,79.8,100293,91.1,91373,89.4,81699,31.4,25621,52.2,13386,2.61,350,3.86,517,95.7,495,4.06,21.0,13.1,1758,80.4,10761,25.2,6454,
B2 BCG_2.fcs,100,115467,94.8,109427,93.6,102418,95.2,97456,26.4,25716,51.4,13212,1.79,236,3.78,499,95.8,478,4.21,21.0,20.6,2726,73.8,9751,20.9,5365,
B3 BCG_3.fcs,100,111907,99.4,111272,93.4,103889,99.4,103247,9.22,9516,51.3,4884,1.09,53.0,5.61,274,97.4,267,2.55,7.00,29.4,1435,63.9,3122,9.86,938,
C1 ID93_1.fcs,100,130105,77.6,100898,91.3,92085,93.1,85728,33.8,28985,52.3,15166,3.86,585,4.46,676,92.5,625,7.54,51.0,12.9,1961,78.8,11944,12.8,3707,
C2 ID93_2.fcs,100,122994,83.0,102047,92.6,94529,92.6,87570,33.7,29500,52.3,15417,3.75,578,3.96,611,93.6,572,6.38,39.0,11.4,1764,80.8,12464,26.4,7774,
C3 ID93_3.fcs,100,116971,97.5,114070,89.3,101823,98.5,100279,14.9,14991,38.8,5819,1.48,86.0,4.16,242,93.0,225,7.02,17.0,31.4,1827,63.0,3664,5.22,783,
C4 ID93_4.fcs,100,128540,77.7,99835,91.0,90808,94.9,86201,36.8,31692,51.1,16180,2.65,429,4.40,712,95.9,683,3.93,28.0,12.6,2035,80.4,13004,26.6,8434,
D1 BCG+ID93_1.fcs,100,143704,65.3,93829,87.5,82124,71.7,58896,37.6,22146,47.9,10611,4.22,448,4.75,504,96.6,487,3.37,17.0,14.8,1567,76.3,8092,35.6,7888,
D2 BCG+ID93_2.fcs,100,133537,74.8,99876,88.8,88686,92.9,82392,42.0,34626,46.2,15991,2.76,442,5.13,821,91.5,751,7.92,65.0,15.8,2519,76.3,12209,37.4,12966,
D3 BCG+ID93_3.fcs,100,129012,72.9,94030,92.5,86935,93.2,81004,30.0,24285,48.8,11849,3.85,456,5.49,650,96.2,625,3.54,23.0,15.8,1875,74.8,8868,35.5,8612,
D4 BCG+ID93_4.fcs,100,129528,73.9,95770,92.3,88351,93.1,82265,28.3,23263,51.6,11998,2.62,314,4.86,583,96.6,563,3.09,18.0,16.3,1959,76.2,9142,31.8,7396,
Mean,100,125753,81.8,102189,91.7,93720,92.9,87340,33.8,29092,49.4,14412,2.54,366,4.56,648,95.5,620,4.35,27.6,16.6,2184,76.3,11214,28.1,8961,
SD,0,7804,9.53,5922,1.91,6108,6.34,10397,11.2,9923,4.16,4992,1.00,155,0.82,243,1.90,234,1.89,15.1,6.59,780,6.34,4321,11.6,5525,
